word,emotion
incongruous,anger
dictatorship,anger
torpedo,anger
despicable,anger
gonorrhea,anger
playful,anger
misery,anger
busted,anger
muff,anger
assassination,anger
extinguish,anger
reprisal,anger
armed,anger
menacing,anger
arrogant,anger
idiocy,anger
agony,anger
scoff,anger
agitated,anger
painful,anger
obnoxious,anger
asshole,anger
defect,anger
duplicity,anger
money,anger
denunciation,anger
stripped,anger
incendiary,anger
collision,anger
hoax,anger
deplorable,anger
rejection,anger
sucker,anger
corrupting,anger
shrill,anger
cursed,anger
dispute,anger
fight,anger
slap,anger
oppress,anger
condescension,anger
orchestra,anger
indifference,anger
huff,anger
cussed,anger
exacerbation,anger
vote,anger
grumpy,anger
brazen,anger
altercation,anger
conflagration,anger
suppression,anger
caution,anger
react,anger
usurped,anger
brimstone,anger
bickering,anger
controversial,anger
repellent,anger
unfair,anger
epidemic,anger
meddle,anger
distracting,anger
tariff,anger
resign,anger
delinquent,anger
vicious,anger
destructive,anger
bile,anger
antichrist,anger
objection,anger
defraud,anger
whip,anger
gall,anger
versus,anger
annihilate,anger
brutal,anger
infantile,anger
dupe,anger
shock,anger
gruff,anger
defamatory,anger
hot,anger
denounce,anger
cursing,anger
inflict,anger
anxiety,anger
pique,anger
guilty,anger
legalized,anger
revolution,anger
exasperation,anger
abandonment,anger
lash,anger
troublesome,anger
intolerable,anger
scorpion,anger
victim,anger
picketing,anger
mistress,anger
disturbance,anger
misplace,anger
canker,anger
vindictive,anger
treason,anger
tease,anger
unsympathetic,anger
hurtful,anger
ravenous,anger
unequal,anger
manslaughter,anger
disparity,anger
irreconcilable,anger
recalcitrant,anger
quarrel,anger
despair,anger
crucifixion,anger
oppressor,anger
usurp,anger
mug,anger
mad,anger
destruction,anger
rave,anger
wrongly,anger
phony,anger
repay,anger
surcharge,anger
crushing,anger
mangle,anger
disdain,anger
eruption,anger
touchy,anger
strangle,anger
claw,anger
eschew,anger
scoundrel,anger
antipathy,anger
unkind,anger
ransom,anger
coercion,anger
violent,anger
executioner,anger
dumps,anger
nether,anger
accusation,anger
foe,anger
abandoned,anger
depreciate,anger
shot,anger
rocket,anger
words,anger
riot,anger
beast,anger
celebrity,anger
sue,anger
suppress,anger
inappropriate,anger
mutter,anger
tempest,anger
shove,anger
obliterate,anger
assail,anger
aggravating,anger
deserve,anger
furnace,anger
eradicate,anger
sneer,anger
pare,anger
skewed,anger
callous,anger
mutiny,anger
confine,anger
depravity,anger
aggressor,anger
indoctrination,anger
avarice,anger
fraud,anger
cranky,anger
scare,anger
slam,anger
despise,anger
satanic,anger
terrorist,anger
flog,anger
anarchism,anger
badness,anger
repudiation,anger
nuisance,anger
belittle,anger
godless,anger
teasing,anger
hatred,anger
opposed,anger
opponent,anger
jab,anger
thundering,anger
hanging,anger
resent,anger
indenture,anger
campaigning,anger
incest,anger
battery,anger
dreadful,anger
smack,anger
devastate,anger
intolerant,anger
condemn,anger
retaliatory,anger
uncontrollable,anger
reprimand,anger
plunder,anger
yell,anger
insulting,anger
expletive,anger
villainous,anger
banshee,anger
complain,anger
disagreeing,anger
interminable,anger
masochism,anger
offended,anger
expel,anger
cannon,anger
attorney,anger
insidious,anger
violence,anger
curse,anger
disfigured,anger
sinner,anger
battled,anger
outcry,anger
kidnap,anger
slayer,anger
combatant,anger
alcoholism,anger
explosive,anger
injustice,anger
disparaging,anger
vehement,anger
slavery,anger
retaliate,anger
compulsion,anger
defendant,anger
cruel,anger
bee,anger
inequality,anger
damnation,anger
stone,anger
odious,anger
smother,anger
grievous,anger
mastery,anger
assault,anger
bellows,anger
antagonist,anger
vengeful,anger
homicide,anger
tolerate,anger
reversal,anger
desert,anger
confusion,anger
derogatory,anger
banished,anger
dismay,anger
jealousy,anger
pessimism,anger
oblivion,anger
disclaim,anger
intolerance,anger
antisocial,anger
tree,anger
adversity,anger
defiance,anger
standstill,anger
overpriced,anger
battle,anger
attacking,anger
impermeable,anger
theocratic,anger
retribution,anger
sham,anger
slay,anger
arraignment,anger
annihilated,anger
homeless,anger
atrocity,anger
atrocious,anger
infidel,anger
immorality,anger
toughness,anger
coldness,anger
wench,anger
lose,anger
disinformation,anger
revenge,anger
gallows,anger
darkness,anger
duel,anger
hoot,anger
hostile,anger
intimidation,anger
pirate,anger
ruthless,anger
exile,anger
misrepresented,anger
unfairness,anger
oppression,anger
deny,anger
warp,anger
vulgarity,anger
intrusive,anger
sisterhood,anger
awful,anger
coerce,anger
dislike,anger
militia,anger
aggression,anger
virulence,anger
birch,anger
bayonet,anger
conquest,anger
malignant,anger
negation,anger
bothering,anger
revolting,anger
shell,anger
frustrated,anger
deportation,anger
annoying,anger
resistance,anger
violently,anger
orc,anger
wince,anger
slaughtering,anger
shoot,anger
blaze,anger
deplore,anger
forcibly,anger
actionable,anger
smell,anger
cane,anger
violation,anger
untoward,anger
chaff,anger
grievance,anger
frenetic,anger
criminal,anger
illegal,anger
horror,anger
liberate,anger
growl,anger
combative,anger
incite,anger
cross,anger
indict,anger
dastardly,anger
scar,anger
concussion,anger
battalion,anger
ribbon,anger
misbehavior,anger
foul,anger
quandary,anger
depressed,anger
animus,anger
wreck,anger
defiant,anger
disobedient,anger
blasphemous,anger
holocaust,anger
frustrate,anger
brunt,anger
tussle,anger
humiliate,anger
banishment,anger
opposition,anger
adversary,anger
desecration,anger
betray,anger
rascal,anger
nettle,anger
poisoned,anger
fiend,anger
haughty,anger
sore,anger
discrimination,anger
resisting,anger
deceived,anger
glare,anger
evade,anger
fervor,anger
libel,anger
rapping,anger
distracted,anger
enmity,anger
interrupt,anger
stab,anger
sizzle,anger
implicate,anger
rifle,anger
annoy,anger
consternation,anger
crazed,anger
maniac,anger
broken,anger
cancer,anger
backbone,anger
concealment,anger
madden,anger
contradict,anger
abomination,anger
elf,anger
spear,anger
constraint,anger
fluctuation,anger
onerous,anger
growling,anger
bane,anger
menace,anger
suicidal,anger
depraved,anger
revoke,anger
lie,anger
yelp,anger
opium,anger
ram,anger
skirmish,anger
assassin,anger
ordeal,anger
rivalry,anger
destroyed,anger
punch,anger
martial,anger
conflict,anger
chaos,anger
force,anger
shooting,anger
catastrophe,anger
hate,anger
hateful,anger
coop,anger
casualty,anger
feud,anger
rating,anger
savage,anger
swastika,anger
contemptible,anger
detract,anger
irate,anger
failing,anger
grating,anger
earthquake,anger
reckless,anger
forfeit,anger
disgust,anger
separatist,anger
madness,anger
inconvenient,anger
instinctive,anger
tighten,anger
disliked,anger
dame,anger
infanticide,anger
revulsion,anger
cad,anger
terrorism,anger
disturbed,anger
hamstring,anger
fugitive,anger
misleading,anger
aggravation,anger
unruly,anger
rebel,anger
allegation,anger
feudalism,anger
resentful,anger
worthless,anger
threat,anger
warlike,anger
persecute,anger
rampage,anger
cutthroat,anger
flagrant,anger
blemish,anger
cruelly,anger
waffle,anger
picket,anger
grated,anger
pound,anger
accusing,anger
commotion,anger
deceit,anger
crabby,anger
horrible,anger
losing,anger
detest,anger
snarl,anger
remove,anger
morbidity,anger
deranged,anger
bully,anger
rail,anger
confront,anger
tiff,anger
senseless,anger
disastrous,anger
underpaid,anger
harbinger,anger
terrible,anger
stifled,anger
provoking,anger
demonic,anger
blast,anger
sin,anger
berserk,anger
hiss,anger
kick,anger
endless,anger
difficulty,anger
detainee,anger
armament,anger
contentious,anger
liquor,anger
ulcer,anger
overpowering,anger
threatening,anger
harmful,anger
mutilation,anger
infamous,anger
furious,anger
loathe,anger
revolver,anger
limited,anger
scrapie,anger
indignation,anger
fenced,anger
untrustworthy,anger
fuming,anger
taunt,anger
hating,anger
nepotism,anger
excite,anger
wreak,anger
punitive,anger
ringer,anger
bad,anger
slash,anger
sickening,anger
incredulous,anger
disappointed,anger
vampire,anger
loudness,anger
indignant,anger
rook,anger
inattention,anger
grim,anger
unsettled,anger
advocacy,anger
tremor,anger
manipulation,anger
elbow,anger
anarchist,anger
avenger,anger
rabble,anger
expulsion,anger
talons,anger
perverse,anger
deceive,anger
egregious,anger
undesirable,anger
howl,anger
fury,anger
ferocious,anger
contemptuous,anger
ferocity,anger
rape,anger
treacherous,anger
dominate,anger
crime,anger
scream,anger
gibberish,anger
polemic,anger
anger,anger
annoyance,anger
brutality,anger
reject,anger
snarling,anger
abolish,anger
shout,anger
smuggler,anger
blockade,anger
bloodshed,anger
spat,anger
intruder,anger
elimination,anger
rebellion,anger
scarcity,anger
torture,anger
bigoted,anger
perversion,anger
turbulence,anger
strike,anger
confined,anger
carelessness,anger
slaughterhouse,anger
disapproving,anger
confiscate,anger
poverty,anger
screwed,anger
injury,anger
unhappy,anger
horrific,anger
harass,anger
havoc,anger
lonely,anger
bear,anger
daemon,anger
renegade,anger
broil,anger
inexcusable,anger
prick,anger
dislocated,anger
domination,anger
shackle,anger
burke,anger
uncertain,anger
saloon,anger
paucity,anger
raving,anger
bomb,anger
psychosis,anger
cash,anger
dispossessed,anger
sentence,anger
destroying,anger
outrage,anger
barrier,anger
unpaid,anger
mournful,anger
steal,anger
segregate,anger
subversion,anger
blackmail,anger
opera,anger
mighty,anger
lagging,anger
defy,anger
upheaval,anger
turmoil,anger
unjustifiable,anger
bastion,anger
foray,anger
forsaken,anger
spite,anger
friction,anger
dying,anger
lawsuit,anger
pernicious,anger
fib,anger
contempt,anger
leukemia,anger
confinement,anger
murderous,anger
rejects,anger
tyrant,anger
bearish,anger
volatility,anger
distressing,anger
effigy,anger
affront,anger
arson,anger
wretch,anger
vermin,anger
presumptuous,anger
musical,anger
bitch,anger
retract,anger
shun,anger
shoplifting,anger
forearm,anger
cheat,anger
standoff,anger
torment,anger
malpractice,anger
penitentiary,anger
argument,anger
disobedience,anger
crusade,anger
betrayal,anger
impotence,anger
ungrateful,anger
convict,anger
uprising,anger
irritability,anger
monstrosity,anger
arguments,anger
powerful,anger
simmer,anger
disapproved,anger
firearms,anger
treat,anger
shatter,anger
barbaric,anger
furiously,anger
wop,anger
poisonous,anger
hostility,anger
scapegoat,anger
annihilation,anger
grope,anger
delusion,anger
derision,anger
unbridled,anger
litigious,anger
ire,anger
adverse,anger
smash,anger
misstatement,anger
sneak,anger
delay,anger
burial,anger
lightning,anger
molestation,anger
disrespect,anger
melodrama,anger
terrorize,anger
damn,anger
hurt,anger
marry,anger
fulfill,anger
entanglement,anger
impersonation,anger
atone,anger
fern,anger
inspect,anger
vanish,anger
move,anger
occurrence,anger
tantalizing,anger
catabolism,anger
workmanship,anger
interworking,anger
turret,anger
congruence,anger
priming,anger
carter,anger
caveat,anger
entertaining,anger
taxicab,anger
crevice,anger
quicksilver,anger
kennel,anger
junta,anger
deciduous,anger
repeat,anger
aft,anger
flesh,anger
charter,anger
drenched,anger
trot,anger
oddity,anger
dislodge,anger
inborn,anger
splendor,anger
effeminate,anger
symmetry,anger
overrule,anger
assuredly,anger
hissing,anger
award,anger
snowy,anger
sundial,anger
tuck,anger
rod,anger
foreman,anger
spelling,anger
trillion,anger
quadratic,anger
avalanche,anger
bareback,anger
isolation,anger
endorsement,anger
mortgage,anger
liquidate,anger
interrupted,anger
gentleness,anger
clever,anger
pose,anger
falsity,anger
heel,anger
espouse,anger
undoing,anger
preparedness,anger
minstrel,anger
past,anger
sumptuous,anger
quartered,anger
triplicate,anger
amusing,anger
assent,anger
knock,anger
knapsack,anger
inhabiting,anger
gratis,anger
art,anger
alien,anger
velour,anger
abandon,anger
scour,anger
ream,anger
tug,anger
rank,anger
restorative,anger
stillness,anger
ripple,anger
peddle,anger
bridge,anger
amenable,anger
lumpy,anger
cleansing,anger
cloves,anger
intercede,anger
inquisitive,anger
spoil,anger
engulf,anger
relinquish,anger
constitutional,anger
aqueous,anger
center,anger
coast,anger
stick,anger
radioactive,anger
burlap,anger
atelier,anger
lint,anger
ground,anger
indestructible,anger
estranged,anger
jelly,anger
baritone,anger
castor,anger
rally,anger
waves,anger
champion,anger
resist,anger
unsupported,anger
calculator,anger
privacy,anger
rebut,anger
denial,anger
quadrupole,anger
irrefutable,anger
earnestness,anger
meridional,anger
affirmative,anger
sadness,anger
mir,anger
attendance,anger
ammonia,anger
spinster,anger
snob,anger
matrimony,anger
inviting,anger
fragment,anger
matching,anger
shear,anger
palladium,anger
ant,anger
muscular,anger
deport,anger
micrometer,anger
enclave,anger
interception,anger
emporium,anger
portage,anger
melt,anger
aeration,anger
marginal,anger
expropriation,anger
fudge,anger
attribution,anger
infertile,anger
clumsy,anger
wing,anger
snore,anger
sterile,anger
mica,anger
tardy,anger
reptile,anger
heating,anger
breeches,anger
selection,anger
uneventful,anger
shovel,anger
appearance,anger
agonizing,anger
device,anger
infectious,anger
rarity,anger
ended,anger
alienated,anger
obsession,anger
perplexed,anger
ordained,anger
minuscule,anger
explorer,anger
agate,anger
consonant,anger
undisputed,anger
caries,anger
boasting,anger
pointer,anger
code,anger
bereft,anger
cathedral,anger
permitted,anger
sportsman,anger
photo,anger
quits,anger
hardware,anger
domain,anger
pity,anger
smuggle,anger
turning,anger
walnut,anger
radiation,anger
shambles,anger
axial,anger
outgrowth,anger
transcribe,anger
expertise,anger
itching,anger
accidentally,anger
baking,anger
paranoia,anger
visionary,anger
unimpressed,anger
frontal,anger
bookkeeper,anger
dispense,anger
amendment,anger
umbrella,anger
commodity,anger
promontory,anger
framework,anger
interpreter,anger
inserted,anger
rule,anger
faculty,anger
steamroller,anger
vulgar,anger
aristocracy,anger
supper,anger
exciting,anger
matchmaker,anger
alluvial,anger
mutant,anger
racket,anger
musing,anger
sparse,anger
cylindrical,anger
overdose,anger
irradiation,anger
comparatively,anger
predicament,anger
beads,anger
market,anger
apportionment,anger
tiger,anger
prosecutor,anger
shoe,anger
bagpipes,anger
lineage,anger
kanji,anger
tripod,anger
astronaut,anger
kimono,anger
infringement,anger
vagueness,anger
seamless,anger
candle,anger
noted,anger
stubble,anger
tights,anger
mingled,anger
vector,anger
chosen,anger
numerous,anger
mission,anger
newly,anger
despotic,anger
sharpener,anger
governor,anger
long,anger
interdependent,anger
aged,anger
astringent,anger
obedient,anger
peer,anger
spinal,anger
hub,anger
credit,anger
repetition,anger
redundant,anger
sixty,anger
urchin,anger
convenient,anger
antiquarian,anger
inimitable,anger
refit,anger
reward,anger
disrepute,anger
rapid,anger
reassurance,anger
captivating,anger
jersey,anger
impurity,anger
portable,anger
whisper,anger
enchanted,anger
backwater,anger
householder,anger
squamous,anger
respects,anger
concord,anger
swimming,anger
razor,anger
administer,anger
falling,anger
ait,anger
oration,anger
protozoa,anger
atlas,anger
dive,anger
lingo,anger
accountable,anger
hazard,anger
sissy,anger
balsamic,anger
servant,anger
moment,anger
smear,anger
cutlery,anger
err,anger
banter,anger
rendering,anger
strut,anger
sheath,anger
impossible,anger
subterranean,anger
burn,anger
deft,anger
comedy,anger
dismiss,anger
preface,anger
underground,anger
inaudible,anger
admixture,anger
buttery,anger
receptacle,anger
fountain,anger
document,anger
invariably,anger
precipitate,anger
incompetence,anger
intimate,anger
simulating,anger
doubting,anger
uniformly,anger
reluctant,anger
dilapidated,anger
obi,anger
abstention,anger
watchman,anger
tray,anger
sculptured,anger
drawers,anger
raising,anger
overalls,anger
afresh,anger
temple,anger
abscess,anger
escalator,anger
superhuman,anger
caster,anger
authentic,anger
cubicle,anger
aeroplane,anger
wright,anger
board,anger
brag,anger
luster,anger
step,anger
goo,anger
mall,anger
harvest,anger
embellish,anger
meditate,anger
loathing,anger
pronounce,anger
awe,anger
drake,anger
suspenders,anger
affection,anger
tiller,anger
midland,anger
tangle,anger
winch,anger
offhand,anger
directed,anger
upstart,anger
notification,anger
villa,anger
parallelism,anger
doubling,anger
pore,anger
silky,anger
grizzly,anger
commemorate,anger
negligent,anger
jeans,anger
cumulus,anger
zip,anger
season,anger
constantly,anger
intelligent,anger
twins,anger
triple,anger
part,anger
languishing,anger
borrower,anger
panther,anger
porno,anger
refractor,anger
sprout,anger
pistol,anger
gut,anger
innocently,anger
coal,anger
celebrated,anger
hereditary,anger
wavy,anger
birth,anger
wont,anger
sail,anger
crystal,anger
birthday,anger
assumed,anger
expense,anger
impatient,anger
wane,anger
boat,anger
adorable,anger
crowded,anger
fiddle,anger
modest,anger
demos,anger
riches,anger
egress,anger
dubious,anger
expiry,anger
deepen,anger
nebulous,anger
amused,anger
depicting,anger
environ,anger
equate,anger
gallop,anger
dun,anger
pass,anger
solid,anger
invaluable,anger
neighborhood,anger
equipment,anger
convenience,anger
quart,anger
buckle,anger
lavatory,anger
toll,anger
coil,anger
ascent,anger
chemise,anger
downfall,anger
music,anger
meet,anger
pact,anger
subset,anger
nude,anger
excluding,anger
undertake,anger
badly,anger
parsley,anger
withdrawal,anger
sluggish,anger
epithet,anger
unlike,anger
easily,anger
achievement,anger
author,anger
convention,anger
unintentional,anger
dandruff,anger
frequently,anger
seducing,anger
typist,anger
disintegration,anger
winter,anger
dilute,anger
gospel,anger
recommend,anger
hearse,anger
primed,anger
laity,anger
crescendo,anger
hastily,anger
imitate,anger
speculative,anger
jungle,anger
generative,anger
theoretical,anger
brig,anger
sympathize,anger
trapping,anger
concrete,anger
evangelical,anger
oceanic,anger
brevity,anger
antithetical,anger
hummer,anger
mechanism,anger
panier,anger
coefficient,anger
belongings,anger
revolve,anger
candid,anger
igneous,anger
nodule,anger
mistaken,anger
obscurity,anger
irreversible,anger
squatter,anger
unacceptable,anger
yew,anger
glad,anger
irreverent,anger
disapproval,anger
covert,anger
garage,anger
tribune,anger
focus,anger
pewter,anger
lacrosse,anger
hatch,anger
swish,anger
frontage,anger
vigil,anger
unneeded,anger
diverge,anger
municipality,anger
tuition,anger
diagnostic,anger
ration,anger
helical,anger
conscience,anger
underscore,anger
azimuth,anger
narrative,anger
baccalaureate,anger
sweeping,anger
craig,anger
committal,anger
smashed,anger
linger,anger
overture,anger
bearings,anger
arranged,anger
consult,anger
lovable,anger
facility,anger
whiz,anger
waiter,anger
sweltering,anger
cerebral,anger
mogul,anger
scaffold,anger
shorten,anger
stinking,anger
withered,anger
lump,anger
onward,anger
accounting,anger
flask,anger
materiality,anger
camp,anger
pasty,anger
festival,anger
critic,anger
reluctance,anger
trappings,anger
cue,anger
grist,anger
dermatologist,anger
rim,anger
obliteration,anger
passive,anger
hibernate,anger
shaken,anger
instructed,anger
dealings,anger
tendon,anger
epitome,anger
silken,anger
gravitate,anger
sequestration,anger
repress,anger
acquisitions,anger
approval,anger
lyrical,anger
grieve,anger
coercive,anger
depreciation,anger
snow,anger
lay,anger
dispersion,anger
recitation,anger
emergency,anger
lessening,anger
lifeless,anger
thirds,anger
flake,anger
ostrich,anger
undercover,anger
immunization,anger
disbelief,anger
impatience,anger
integer,anger
dainty,anger
speaker,anger
reader,anger
mandrel,anger
finger,anger
delayed,anger
compressible,anger
ambient,anger
whiff,anger
dissemination,anger
indeterminate,anger
moon,anger
strongly,anger
loudly,anger
chauffeur,anger
projectiles,anger
abate,anger
sequence,anger
alphabet,anger
enslave,anger
negligence,anger
frosty,anger
reestablish,anger
madame,anger
volume,anger
steppe,anger
heated,anger
unobstructed,anger
strategy,anger
pickle,anger
procrastinate,anger
signpost,anger
gyroscope,anger
galley,anger
applicability,anger
croft,anger
muses,anger
oils,anger
skating,anger
contaminated,anger
breed,anger
perishable,anger
speedily,anger
octave,anger
yard,anger
liaison,anger
outstretched,anger
solicitation,anger
plantation,anger
squat,anger
parson,anger
aloud,anger
clasp,anger
scissors,anger
rebound,anger
gathering,anger
swiftly,anger
navigator,anger
mix,anger
seat,anger
hitherto,anger
retirement,anger
annuity,anger
cradle,anger
planning,anger
leather,anger
clauses,anger
party,anger
picked,anger
anatomy,anger
pharmacy,anger
hag,anger
detonate,anger
shirt,anger
admittance,anger
silk,anger
illumination,anger
cultivate,anger
leeches,anger
buzzed,anger
hiding,anger
prefix,anger
clubhouse,anger
omit,anger
desiring,anger
pensive,anger
princely,anger
adviser,anger
handkerchief,anger
bit,anger
diner,anger
impersonal,anger
blissful,anger
sweater,anger
sedan,anger
eleventh,anger
admiral,anger
chipping,anger
brachial,anger
buffer,anger
verse,anger
install,anger
subduction,anger
abbreviation,anger
steeple,anger
seniority,anger
capsule,anger
contrast,anger
clam,anger
arousal,anger
bookshop,anger
regain,anger
resolution,anger
caste,anger
debris,anger
unfurnished,anger
pamper,anger
inefficiency,anger
toxin,anger
telescopic,anger
vehicle,anger
feather,anger
unbeaten,anger
communist,anger
discarded,anger
prod,anger
stack,anger
gunner,anger
gingerly,anger
refusing,anger
outset,anger
notify,anger
fated,anger
surmise,anger
simulation,anger
unencumbered,anger
